"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Jan-2025","EQ","3,060.00","3,098.00","3,036.15","3,060.05","3,055.00","3,048.35","3,063.56","3,652.25","2,016.00","7,30,445","2,23,77,64,814.40","58,454"
"02-Jan-2025","EQ","2,937.30","3,068.90","2,931.60","2,918.65","3,051.00","3,060.05","3,017.72","3,652.25","2,016.00","14,59,417","4,40,41,15,131.85","96,460"
"01-Jan-2025","EQ","2,899.00","2,931.00","2,882.90","2,889.15","2,920.50","2,918.65","2,908.84","3,652.25","2,016.00","2,59,435","75,46,56,125.00","28,035"
"31-Dec-2024","EQ","2,897.90","2,912.70","2,881.05","2,919.00","2,894.50","2,889.15","2,892.95","3,652.25","2,016.00","8,15,014","2,35,77,97,282.85","64,688"
"30-Dec-2024","EQ","2,912.80","2,968.85","2,895.30","2,898.90","2,921.85","2,919.00","2,927.50","3,652.25","2,016.00","6,90,544","2,02,15,68,673.90","58,296"
"27-Dec-2024","EQ","2,936.90","2,939.85","2,890.50","2,926.90","2,920.00","2,898.90","2,913.98","3,652.25","2,016.00","3,04,983","88,87,13,918.55","30,086"
"26-Dec-2024","EQ","2,892.30","2,935.95","2,871.15","2,882.95","2,928.00","2,926.90","2,909.37","3,652.25","2,016.00","8,92,468","2,59,65,23,597.50","69,421"
"24-Dec-2024","EQ","2,883.00","2,897.60","2,855.10","2,882.90","2,880.05","2,882.95","2,879.43","3,652.25","2,016.00","4,04,156","1,16,37,40,397.60","38,313"
"23-Dec-2024","EQ","2,906.00","2,954.00","2,872.80","2,877.25","2,877.00","2,882.90","2,915.62","3,652.25","2,016.00","9,38,250","2,73,55,83,839.35","99,624"
"20-Dec-2024","EQ","2,953.25","2,960.70","2,843.65","2,945.45","2,878.60","2,877.25","2,888.96","3,652.25","1,972.00","24,99,820","7,22,18,69,109.15","1,00,458"
"19-Dec-2024","EQ","2,870.00","2,952.50","2,853.30","2,931.40","2,942.00","2,945.45","2,910.09","3,652.25","1,972.00","14,70,935","4,28,05,57,155.50","1,14,604"
"18-Dec-2024","EQ","2,976.90","3,033.00","2,908.85","2,976.90","2,939.95","2,931.40","2,960.32","3,652.25","1,972.00","14,89,535","4,40,95,04,460.20","1,11,367"
"17-Dec-2024","EQ","3,135.00","3,135.00","2,965.25","3,137.45","2,972.00","2,976.90","3,015.85","3,652.25","1,972.00","20,82,634","6,28,09,14,771.55","1,47,405"
"16-Dec-2024","EQ","3,174.00","3,197.00","3,127.00","3,162.55","3,130.05","3,137.45","3,156.92","3,652.25","1,972.00","5,88,661","1,85,83,53,429.35","43,144"
"13-Dec-2024","EQ","3,242.05","3,254.65","3,117.60","3,248.10","3,169.00","3,162.55","3,155.17","3,652.25","1,972.00","12,00,626","3,78,81,76,222.55","1,33,802"
"12-Dec-2024","EQ","3,239.50","3,265.00","3,221.55","3,248.25","3,248.00","3,248.10","3,242.39","3,652.25","1,972.00","10,21,669","3,31,26,49,608.45","1,01,288"
"11-Dec-2024","EQ","3,195.50","3,267.60","3,178.00","3,186.50","3,247.00","3,248.25","3,236.05","3,652.25","1,972.00","14,70,021","4,75,70,60,455.05","93,520"
"10-Dec-2024","EQ","3,125.45","3,197.15","3,109.00","3,106.90","3,181.60","3,186.50","3,176.28","3,652.25","1,972.00","11,26,180","3,57,70,57,903.85","80,808"
"09-Dec-2024","EQ","3,100.60","3,163.35","3,095.50","3,126.35","3,105.00","3,106.90","3,117.44","3,652.25","1,972.00","7,92,799","2,47,15,05,508.35","67,913"
"06-Dec-2024","EQ","3,127.00","3,148.25","3,093.60","3,126.30","3,124.00","3,126.35","3,127.13","3,652.25","1,972.00","6,38,757","1,99,74,77,437.40","74,702"
"05-Dec-2024","EQ","3,152.45","3,159.05","3,073.00","3,132.30","3,126.00","3,126.30","3,117.26","3,652.25","1,972.00","14,23,470","4,43,73,26,304.65","1,15,597"
"04-Dec-2024","EQ","3,145.55","3,173.45","3,119.70","3,155.55","3,130.65","3,132.30","3,144.30","3,652.25","1,972.00","11,48,745","3,61,19,93,204.80","83,592"
"03-Dec-2024","EQ","3,131.00","3,206.90","3,125.05","3,094.20","3,145.60","3,155.55","3,168.19","3,652.25","1,972.00","19,74,444","6,25,54,18,442.80","99,820"
"02-Dec-2024","EQ","3,019.65","3,114.85","3,010.70","3,019.65","3,097.00","3,094.20","3,087.30","3,652.25","1,972.00","10,86,688","3,35,49,29,311.80","1,02,415"
"29-Nov-2024","EQ","3,057.50","3,066.55","2,992.20","3,043.70","3,015.45","3,019.65","3,026.12","3,652.25","1,934.55","11,20,109","3,38,95,89,519.20","74,530"
"28-Nov-2024","EQ","3,040.00","3,075.00","2,991.25","3,019.00","3,037.95","3,043.70","3,035.44","3,652.25","1,934.55","24,11,429","7,31,97,47,978.95","1,22,825"
"27-Nov-2024","EQ","3,028.90","3,066.70","3,007.35","3,046.35","3,021.00","3,019.00","3,029.47","3,652.25","1,934.55","8,12,950","2,46,28,06,112.50","75,165"
"26-Nov-2024","EQ","2,964.75","3,079.30","2,949.00","2,947.80","3,044.00","3,046.35","3,027.35","3,652.25","1,934.55","20,21,020","6,11,83,27,012.45","1,35,145"
"25-Nov-2024","EQ","2,926.95","3,015.00","2,926.95","2,850.05","2,957.65","2,947.80","2,968.59","3,652.25","1,934.55","27,58,308","8,18,82,96,888.90","1,35,375"
"22-Nov-2024","EQ","2,750.00","2,865.00","2,745.55","2,802.20","2,842.00","2,850.05","2,832.31","3,652.25","1,934.55","16,38,998","4,64,21,42,531.90","1,25,020"
"21-Nov-2024","EQ","2,835.95","2,837.00","2,768.00","2,824.75","2,799.90","2,802.20","2,798.89","3,652.25","1,934.55","9,55,480","2,67,42,80,694.65","99,824"
"19-Nov-2024","EQ","2,848.00","2,866.00","2,801.70","2,848.15","2,809.00","2,824.75","2,835.84","3,652.25","1,934.55","11,88,509","3,37,04,24,606.60","87,172"
"18-Nov-2024","EQ","2,822.60","2,866.80","2,800.00","2,822.60","2,840.00","2,848.15","2,833.68","3,652.25","1,934.55","9,68,379","2,74,40,71,732.45","76,983"
"14-Nov-2024","EQ","2,852.80","2,867.00","2,783.00","2,853.85","2,831.65","2,822.60","2,817.21","3,652.25","1,930.20","14,34,537","4,04,13,89,243.20","1,16,455"
"13-Nov-2024","EQ","2,930.50","2,930.50","2,839.25","2,931.20","2,867.00","2,853.85","2,874.08","3,652.25","1,930.20","13,51,101","3,88,31,78,419.80","90,371"
"12-Nov-2024","EQ","3,014.45","3,025.35","2,922.65","2,999.45","2,930.00","2,931.20","2,964.15","3,652.25","1,930.20","10,86,132","3,21,94,55,974.05","1,04,610"
"11-Nov-2024","EQ","3,010.00","3,057.05","2,957.80","3,007.95","2,999.00","2,999.45","3,009.11","3,652.25","1,930.20","8,20,375","2,46,86,00,907.25","75,130"
"08-Nov-2024","EQ","3,085.00","3,085.00","2,997.05","3,070.15","3,009.95","3,007.95","3,022.39","3,652.25","1,926.90","7,70,349","2,32,82,92,108.75","71,182"
"07-Nov-2024","EQ","3,193.90","3,193.90","3,058.00","3,186.70","3,071.00","3,070.15","3,095.72","3,652.25","1,926.90","11,69,384","3,62,00,91,239.85","1,01,517"
"06-Nov-2024","EQ","3,187.00","3,200.00","3,136.30","3,162.30","3,180.00","3,186.70","3,170.00","3,652.25","1,926.90","8,58,932","2,72,28,16,384.65","90,260"
"05-Nov-2024","EQ","3,157.60","3,176.00","3,055.00","3,147.90","3,149.70","3,162.30","3,128.17","3,652.25","1,926.90","15,21,235","4,75,86,83,025.95","1,36,506"
"04-Nov-2024","EQ","3,155.40","3,169.65","3,108.95","3,150.95","3,142.00","3,147.90","3,137.79","3,652.25","1,926.90","9,68,592","3,03,92,37,664.70","84,567"
"01-Nov-2024","EQ","3,159.00","3,164.00","3,140.00","3,138.90","3,150.00","3,150.95","3,150.62","3,652.25","1,865.25","57,346","18,06,75,244.40","6,360"
"31-Oct-2024","EQ","3,185.00","3,185.00","3,087.60","3,185.80","3,139.95","3,138.90","3,122.34","3,652.25","1,865.25","16,15,002","5,04,25,84,386.80","1,08,349"
"30-Oct-2024","EQ","3,217.05","3,259.70","3,176.95","3,265.80","3,189.00","3,185.80","3,203.32","3,652.25","1,865.25","13,92,877","4,46,18,31,682.65","1,21,170"
"29-Oct-2024","EQ","3,242.10","3,285.65","3,162.40","3,259.30","3,251.75","3,265.80","3,222.98","3,652.25","1,865.25","21,81,280","7,03,02,19,989.90","1,33,166"
"28-Oct-2024","EQ","3,164.00","3,344.15","3,144.00","3,092.65","3,258.00","3,259.30","3,274.91","3,652.25","1,865.25","43,20,596","14,14,95,52,958.95","2,68,979"
"25-Oct-2024","EQ","3,254.30","3,254.30","3,028.00","3,245.10","3,118.00","3,092.65","3,117.66","3,652.25","1,760.85","30,50,378","9,51,00,55,118.40","1,92,774"
"24-Oct-2024","EQ","3,190.00","3,266.00","3,185.55","3,197.75","3,255.85","3,245.10","3,225.78","3,652.25","1,760.85","15,00,254","4,83,94,85,643.70","1,06,926"
"23-Oct-2024","EQ","3,200.00","3,260.50","3,170.05","3,254.50","3,194.00","3,197.75","3,220.80","3,652.25","1,760.85","19,32,061","6,22,27,80,107.90","1,04,440"
"22-Oct-2024","EQ","3,313.30","3,391.00","3,240.00","3,313.30","3,247.70","3,254.50","3,315.37","3,652.25","1,760.85","39,38,252","13,05,67,68,683.25","1,96,418"
"21-Oct-2024","EQ","3,356.95","3,383.50","3,272.00","3,344.65","3,309.80","3,313.30","3,304.51","3,652.25","1,760.85","11,25,596","3,71,95,39,173.50","86,767"
"18-Oct-2024","EQ","3,187.75","3,373.90","3,145.75","3,258.60","3,350.00","3,344.65","3,275.19","3,652.25","1,760.85","18,76,041","6,14,43,92,249.25","1,42,477"
"17-Oct-2024","EQ","3,379.00","3,385.95","3,245.95","3,390.40","3,251.20","3,258.60","3,287.32","3,652.25","1,760.85","16,47,563","5,41,60,66,981.05","91,007"
"16-Oct-2024","EQ","3,417.00","3,422.00","3,367.10","3,401.15","3,384.00","3,390.40","3,388.44","3,652.25","1,760.85","3,21,470","1,08,92,82,929.25","34,187"
"15-Oct-2024","EQ","3,420.00","3,438.60","3,368.60","3,395.30","3,411.85","3,401.15","3,399.09","3,652.25","1,760.85","10,41,971","3,54,17,51,771.00","60,497"
"14-Oct-2024","EQ","3,368.00","3,430.00","3,353.75","3,341.20","3,394.00","3,395.30","3,394.17","3,652.25","1,760.85","7,68,817","2,60,94,97,560.95","53,420"
"11-Oct-2024","EQ","3,350.00","3,357.90","3,308.05","3,337.65","3,348.00","3,341.20","3,334.72","3,652.25","1,760.85","3,59,924","1,20,02,45,503.40","52,653"
"10-Oct-2024","EQ","3,400.00","3,415.95","3,325.90","3,387.95","3,342.00","3,337.65","3,355.24","3,652.25","1,760.85","7,48,077","2,50,99,77,789.30","83,107"
"09-Oct-2024","EQ","3,354.50","3,480.00","3,340.00","3,329.30","3,375.00","3,387.95","3,417.49","3,652.25","1,760.85","13,13,916","4,49,02,92,802.30","85,329"
"08-Oct-2024","EQ","3,278.00","3,373.05","3,278.00","3,299.35","3,331.95","3,329.30","3,332.54","3,652.25","1,760.85","18,24,436","6,08,00,12,596.20","1,02,228"
"07-Oct-2024","EQ","3,369.80","3,413.00","3,256.00","3,336.30","3,309.00","3,299.35","3,302.26","3,652.25","1,760.85","10,96,153","3,61,97,82,148.20","88,300"
"04-Oct-2024","EQ","3,407.00","3,414.50","3,315.50","3,409.50","3,350.00","3,336.30","3,349.06","3,652.25","1,760.85","17,65,505","5,91,27,76,123.10","1,21,194"
"03-Oct-2024","EQ","3,570.00","3,574.90","3,400.05","3,570.40","3,412.55","3,409.50","3,450.81","3,652.25","1,760.85","16,07,336","5,54,66,14,825.40","1,16,168"
"01-Oct-2024","EQ","3,577.00","3,627.80","3,557.80","3,576.95","3,568.00","3,570.40","3,582.57","3,652.25","1,760.85","6,76,227","2,42,26,28,776.05","59,963"
"30-Sep-2024","EQ","3,613.95","3,644.95","3,568.00","3,621.05","3,586.00","3,576.95","3,596.51","3,652.25","1,760.85","8,81,140","3,16,90,29,154.35","68,962"
"27-Sep-2024","EQ","3,618.00","3,652.25","3,595.80","3,628.45","3,626.75","3,621.05","3,628.54","3,652.25","1,760.85","9,93,440","3,60,47,33,807.10","69,224"
"26-Sep-2024","EQ","3,537.10","3,637.00","3,529.55","3,524.05","3,622.00","3,628.45","3,588.35","3,637.00","1,760.85","10,71,878","3,84,62,68,433.55","91,401"
"25-Sep-2024","EQ","3,516.30","3,539.80","3,458.00","3,516.30","3,530.25","3,524.05","3,497.74","3,623.65","1,760.85","7,60,327","2,65,94,24,633.25","60,415"
"24-Sep-2024","EQ","3,581.50","3,581.50","3,502.00","3,567.70","3,518.00","3,516.30","3,528.47","3,623.65","1,760.85","13,36,373","4,71,53,46,225.35","1,01,962"
"23-Sep-2024","EQ","3,550.95","3,612.00","3,540.00","3,532.10","3,560.50","3,567.70","3,568.30","3,623.65","1,760.85","5,87,014","2,09,46,42,807.55","41,859"
"20-Sep-2024","EQ","3,539.00","3,586.00","3,517.00","3,525.35","3,551.30","3,532.10","3,540.47","3,623.65","1,760.85","12,81,428","4,53,68,63,454.05","75,484"
