"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"18-Apr-2024","EQ","616.40","625.00","609.80","608.85","616.15","612.80","618.52","625.40","397.80","99,53,539","6,15,64,59,271.10","2,17,558"
"16-Apr-2024","EQ","612.70","621.40","606.80","612.70","610.50","608.85","613.34","625.40","397.80","1,07,22,248","6,57,64,06,896.95","2,57,184"
"15-Apr-2024","EQ","615.00","625.40","605.70","598.65","613.00","612.70","615.81","625.40","397.80","2,70,67,692","16,66,84,24,290.15","3,58,931"
"12-Apr-2024","EQ","609.05","609.05","595.30","603.05","595.95","598.65","600.31","620.50","397.80","1,59,94,496","9,60,16,61,961.20","1,57,210"
"10-Apr-2024","EQ","596.20","604.90","591.05","588.60","601.90","603.05","599.64","620.50","397.80","1,17,48,104","7,04,45,98,328.30","1,65,255"
"09-Apr-2024","EQ","578.10","595.45","574.00","576.80","588.60","588.60","588.77","620.50","397.80","78,29,711","4,60,99,20,936.85","1,10,479"
"08-Apr-2024","EQ","572.00","579.70","570.50","570.05","576.75","576.80","576.16","620.50","397.80","32,76,169","1,88,76,12,787.00","65,009"
"05-Apr-2024","EQ","572.50","575.00","567.60","577.75","569.80","570.05","570.45","620.50","394.30","48,84,617","2,78,64,20,909.45","60,019"
"04-Apr-2024","EQ","590.00","590.00","568.95","576.60","578.00","577.75","579.67","620.50","394.30","72,46,259","4,20,04,12,936.55","1,45,604"
"03-Apr-2024","EQ","570.20","584.10","567.15","571.20","577.45","576.60","578.79","620.50","394.30","75,14,291","4,34,92,30,266.50","91,097"
"02-Apr-2024","EQ","571.00","572.30","561.55","568.60","570.00","571.20","567.81","620.50","394.30","46,26,877","2,62,71,73,423.70","79,039"
"01-Apr-2024","EQ","570.00","574.00","564.10","560.25","568.45","568.60","568.53","620.50","394.30","61,92,790","3,52,08,17,309.90","67,150"
