"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Mar-2025","EQ","4,950.00","5,010.00","4,912.05","4,990.55","5,005.00","4,985.55","4,974.06","5,575.50","3,672.00","2,28,128","1,13,47,23,076.30","37,829"
"10-Mar-2025","EQ","5,123.00","5,130.00","4,970.65","5,100.70","4,972.50","4,990.55","5,034.16","5,575.50","3,672.00","3,16,750","1,59,45,70,036.00","45,702"
"07-Mar-2025","EQ","5,094.40","5,131.40","5,073.00","5,094.40","5,130.00","5,100.70","5,107.74","5,575.50","3,672.00","5,90,548","3,01,63,62,905.80","41,109"
"06-Mar-2025","EQ","4,995.60","5,107.10","4,995.60","4,988.30","5,086.00","5,094.40","5,056.36","5,575.50","3,672.00","6,48,307","3,27,80,72,679.90","88,275"
"05-Mar-2025","EQ","4,808.00","5,004.00","4,780.90","4,815.10","4,990.60","4,988.30","4,955.62","5,575.50","3,672.00","5,51,830","2,73,46,58,528.90","87,549"
"04-Mar-2025","EQ","4,887.00","4,887.00","4,788.30","4,906.60","4,808.05","4,815.10","4,834.11","5,575.50","3,672.00","6,38,281","3,08,55,20,938.20","1,04,850"
"03-Mar-2025","EQ","4,827.00","4,928.00","4,827.00","4,773.60","4,914.00","4,906.60","4,890.42","5,575.50","3,672.00","5,03,560","2,46,26,19,572.20","74,867"
"28-Feb-2025","EQ","4,910.05","4,931.95","4,755.00","4,935.50","4,803.00","4,773.60","4,827.30","5,575.50","3,672.00","10,76,243","5,19,53,51,944.95","1,07,333"
"27-Feb-2025","EQ","4,960.50","5,000.00","4,889.85","4,989.80","4,920.00","4,935.50","4,929.49","5,575.50","3,672.00","5,61,804","2,76,94,05,957.85","48,780"
"25-Feb-2025","EQ","5,028.00","5,075.00","4,978.05","5,010.80","4,997.75","4,989.80","5,019.16","5,575.50","3,672.00","4,02,917","2,02,23,04,893.35","48,763"
"24-Feb-2025","EQ","4,936.00","5,049.90","4,915.55","4,962.45","5,016.65","5,010.80","5,009.87","5,575.50","3,672.00","4,10,180","2,05,49,48,590.25","70,080"
"21-Feb-2025","EQ","4,888.00","4,982.90","4,855.00","4,888.40","4,968.00","4,962.45","4,946.15","5,575.50","3,672.00","3,24,027","1,60,26,87,359.40","46,244"
"20-Feb-2025","EQ","4,780.00","4,899.00","4,777.00","4,810.60","4,897.00","4,888.40","4,864.28","5,575.50","3,672.00","2,77,284","1,34,87,85,755.45","49,187"
"19-Feb-2025","EQ","4,700.00","4,821.00","4,677.05","4,719.40","4,810.00","4,810.60","4,772.08","5,575.50","3,672.00","2,75,722","1,31,57,67,936.40","46,433"
"18-Feb-2025","EQ","4,769.00","4,772.50","4,684.45","4,745.20","4,726.00","4,719.40","4,714.28","5,575.50","3,672.00","2,54,026","1,19,75,50,049.80","38,433"
"17-Feb-2025","EQ","4,700.00","4,755.00","4,646.00","4,703.35","4,754.00","4,745.20","4,713.78","5,575.50","3,672.00","2,32,211","1,09,45,90,597.20","49,018"
"14-Feb-2025","EQ","4,831.10","4,850.00","4,686.05","4,820.40","4,705.00","4,703.35","4,722.53","5,575.50","3,672.00","4,76,473","2,25,01,59,393.80","66,577"
"13-Feb-2025","EQ","4,850.65","4,907.05","4,790.00","4,849.45","4,808.05","4,820.40","4,852.93","5,575.50","3,672.00","5,71,526","2,77,35,72,865.35","1,03,530"
"12-Feb-2025","EQ","4,950.00","5,000.00","4,834.40","4,972.35","4,855.00","4,849.45","4,921.97","5,575.50","3,672.00","8,13,864","4,00,58,17,111.00","1,13,955"
