"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"20-Dec-2024","EQ","298.00","302.10","289.35","298.50","290.35","290.85","295.71","340.50","164.05","1,49,64,677","4,42,51,82,605.90","1,21,867"
"19-Dec-2024","EQ","295.00","300.45","295.00","303.80","298.20","298.50","298.41","340.50","164.05","1,33,49,532","3,98,36,29,329.10","1,23,301"
"18-Dec-2024","EQ","310.20","310.60","301.65","310.60","304.55","303.80","304.73","340.50","164.05","1,65,98,070","5,05,78,94,328.30","1,47,444"
"17-Dec-2024","EQ","315.55","318.65","310.00","316.20","310.20","310.60","314.23","340.50","164.05","1,80,53,073","5,67,28,61,876.55","1,21,731"
"16-Dec-2024","EQ","315.80","317.35","314.00","315.65","316.00","316.20","315.51","340.50","164.05","1,05,43,307","3,32,65,35,140.30","92,085"
"13-Dec-2024","EQ","313.00","316.35","308.15","312.95","315.80","315.65","312.87","340.50","159.15","1,55,57,064","4,86,74,02,527.15","1,45,458"
"12-Dec-2024","EQ","313.55","316.00","312.10","314.10","312.10","312.95","313.92","340.50","159.15","1,09,78,075","3,44,62,42,650.75","1,47,129"
"11-Dec-2024","EQ","314.90","316.50","313.00","314.85","313.85","314.10","314.71","340.50","159.15","92,81,006","2,92,08,68,764.15","1,39,038"
"10-Dec-2024","EQ","317.55","318.30","314.00","314.60","314.80","314.85","315.33","340.50","159.15","1,58,11,501","4,98,58,03,981.55","1,27,130"
"09-Dec-2024","EQ","313.60","317.10","313.25","313.75","314.45","314.60","315.14","340.50","159.15","1,18,30,104","3,72,81,24,691.45","1,21,599"
"06-Dec-2024","EQ","314.50","315.85","313.10","314.50","313.70","313.75","314.15","340.50","149.95","83,59,798","2,62,62,13,855.80","1,06,140"
"05-Dec-2024","EQ","314.00","315.40","310.60","312.85","314.10","314.50","313.42","340.50","149.95","1,79,11,694","5,61,38,20,932.20","1,57,060"
"04-Dec-2024","EQ","316.00","320.85","311.20","312.10","312.90","312.85","315.23","340.50","149.95","4,14,41,172","13,06,33,13,101.40","2,41,451"
"03-Dec-2024","EQ","309.00","312.75","307.80","306.90","312.00","312.10","310.54","340.50","149.95","2,14,05,136","6,64,72,15,087.25","1,85,559"
"02-Dec-2024","EQ","307.80","309.40","303.30","308.00","306.80","306.90","306.03","340.50","149.95","1,55,49,685","4,75,87,33,632.95","2,22,943"
"29-Nov-2024","EQ","305.70","310.60","305.00","305.75","307.65","308.00","308.48","340.50","140.40","2,32,41,947","7,16,97,17,630.50","2,02,363"
"28-Nov-2024","EQ","308.00","309.50","304.35","307.35","305.80","305.75","306.70","340.50","140.40","2,77,72,319","8,51,76,97,445.05","3,20,545"
"27-Nov-2024","EQ","298.85","307.95","297.45","297.90","307.05","307.35","305.26","340.50","140.40","3,94,64,505","12,04,68,25,960.60","2,72,286"
"26-Nov-2024","EQ","294.00","301.00","293.15","292.35","297.80","297.90","298.52","340.50","140.40","2,73,47,402","8,16,37,54,192.25","1,89,211"
"25-Nov-2024","EQ","290.00","299.00","287.95","280.85","293.00","292.35","294.18","340.50","140.40","4,93,66,681","14,52,26,78,985.55","4,12,595"
"22-Nov-2024","EQ","276.00","283.50","275.50","275.45","281.05","280.85","280.19","340.50","137.35","1,32,68,900","3,71,78,51,235.65","98,372"
"21-Nov-2024","EQ","278.45","278.45","270.25","279.00","275.05","275.45","274.32","340.50","137.35","1,48,58,108","4,07,58,99,404.95","1,58,061"
"19-Nov-2024","EQ","280.00","285.20","277.00","278.05","277.50","279.00","281.53","340.50","137.35","1,31,60,982","3,70,52,14,787.90","1,09,991"
"18-Nov-2024","EQ","283.00","286.70","277.25","280.95","278.20","278.05","280.87","340.50","137.35","1,30,00,137","3,65,12,86,626.30","1,34,036"
"14-Nov-2024","EQ","282.00","284.45","275.50","281.55","281.25","280.95","280.75","340.50","137.35","2,05,41,591","5,76,71,24,174.65","1,75,458"
"13-Nov-2024","EQ","288.00","288.85","279.45","290.15","282.00","281.55","282.92","340.50","137.35","2,00,01,842","5,65,88,46,385.65","1,99,498"
"12-Nov-2024","EQ","300.00","300.85","287.30","299.75","289.30","290.15","294.68","340.50","137.35","1,42,92,965","4,21,18,87,204.70","1,42,938"
"11-Nov-2024","EQ","297.50","303.80","294.40","297.75","299.45","299.75","299.92","340.50","137.35","2,01,55,408","6,04,50,00,821.85","2,77,310"
"08-Nov-2024","EQ","300.35","304.50","295.75","300.35","297.00","297.75","299.93","340.50","136.00","2,29,35,845","6,87,92,06,966.65","1,98,509"
"07-Nov-2024","EQ","301.00","302.00","296.10","301.85","299.95","300.35","299.30","340.50","136.00","2,43,57,430","7,29,02,84,094.65","2,44,075"
"06-Nov-2024","EQ","287.50","304.30","287.20","286.35","301.60","301.85","298.10","340.50","136.00","5,28,04,364","15,74,11,78,333.80","3,82,163"
"05-Nov-2024","EQ","282.50","287.20","277.15","284.15","285.65","286.35","282.40","340.50","136.00","1,87,61,867","5,29,84,44,272.15","1,62,147"
"04-Nov-2024","EQ","289.00","289.00","280.30","288.65","284.05","284.15","283.92","340.50","136.00","1,51,57,659","4,30,35,03,218.80","1,46,158"
"01-Nov-2024","EQ","286.65","290.25","286.00","284.90","288.60","288.65","288.74","340.50","130.75","52,65,231","1,52,02,70,856.95","78,337"
"31-Oct-2024","EQ","287.95","288.45","283.75","288.55","285.15","284.90","285.60","340.50","130.75","1,87,20,310","5,34,66,01,728.40","1,71,631"
"30-Oct-2024","EQ","283.45","294.75","282.05","283.65","287.95","288.55","290.70","340.50","130.75","4,07,87,587","11,85,71,12,797.35","2,55,542"
"29-Oct-2024","EQ","271.20","284.50","270.85","270.05","283.25","283.65","277.55","340.50","130.75","3,42,71,117","9,51,20,81,880.65","2,62,371"
"28-Oct-2024","EQ","276.70","277.95","267.40","272.35","269.85","270.05","270.60","340.50","130.75","2,44,79,817","6,62,42,17,569.30","2,04,540"
"25-Oct-2024","EQ","271.00","276.00","257.45","271.35","275.55","272.35","267.26","340.50","127.00","4,04,06,841","10,79,93,30,476.90","2,82,604"
"24-Oct-2024","EQ","269.00","273.15","268.35","268.65","271.60","271.35","271.03","340.50","127.00","1,07,00,271","2,90,00,88,769.35","91,455"
"23-Oct-2024","EQ","271.00","274.70","266.30","271.65","268.95","268.65","270.26","340.50","127.00","1,35,03,954","3,64,95,27,626.75","1,36,043"
"22-Oct-2024","EQ","282.00","282.15","270.65","282.30","271.60","271.65","275.43","340.50","127.00","1,52,40,897","4,19,77,24,770.55","1,50,480"
"21-Oct-2024","EQ","286.30","287.45","281.10","287.15","281.60","282.30","284.04","340.50","127.00","83,93,942","2,38,42,09,722.30","86,534"
"18-Oct-2024","EQ","282.90","287.80","277.80","284.55","287.00","287.15","284.34","340.50","127.00","1,00,95,514","2,87,05,79,392.80","94,110"
"17-Oct-2024","EQ","286.05","287.90","281.70","285.70","284.50","284.55","284.97","340.50","127.00","1,16,95,551","3,33,28,92,105.60","1,19,417"
"16-Oct-2024","EQ","288.15","291.05","284.75","288.85","285.65","285.70","287.02","340.50","127.00","1,18,35,439","3,39,70,00,771.35","1,18,259"
"15-Oct-2024","EQ","287.15","289.45","285.75","285.70","288.70","288.85","288.13","340.50","127.00","1,47,01,531","4,23,58,94,280.80","1,29,821"
"14-Oct-2024","EQ","286.10","289.20","284.65","285.90","285.60","285.70","286.77","340.50","127.00","1,13,86,559","3,26,53,70,800.70","1,12,797"
"11-Oct-2024","EQ","287.20","288.65","284.15","286.90","285.25","285.90","286.24","340.50","127.00","96,77,338","2,77,00,67,922.90","97,555"
"10-Oct-2024","EQ","283.95","289.60","283.40","282.40","286.90","286.90","286.98","340.50","127.00","1,91,55,691","5,49,72,26,134.85","1,65,859"
"09-Oct-2024","EQ","282.00","286.60","278.50","280.25","282.60","282.40","282.82","340.50","127.00","1,89,84,175","5,36,90,23,738.45","1,75,927"
"08-Oct-2024","EQ","267.00","281.50","265.55","267.35","281.50","280.25","275.06","340.50","127.00","2,91,90,708","8,02,92,27,634.25","2,33,418"
"07-Oct-2024","EQ","277.40","278.90","265.00","277.20","267.40","267.35","269.31","340.50","127.00","2,17,04,629","5,84,53,56,472.95","2,40,837"
"04-Oct-2024","EQ","278.70","281.90","273.55","278.70","277.40","277.20","278.23","340.50","127.00","1,74,51,235","4,85,54,58,363.60","1,56,166"
"03-Oct-2024","EQ","275.05","286.30","275.05","283.95","278.80","278.70","280.65","340.50","127.00","2,73,21,529","7,66,78,03,017.50","2,39,354"
"01-Oct-2024","EQ","285.10","286.60","282.55","285.10","284.00","283.95","284.55","340.50","127.00","1,38,83,476","3,95,05,04,883.90","1,41,159"
"30-Sep-2024","EQ","293.45","294.60","283.60","293.45","284.40","285.10","286.92","340.50","127.00","3,26,95,169","9,38,07,92,758.45","2,77,838"
"27-Sep-2024","EQ","292.35","294.85","289.20","290.50","291.95","293.45","293.17","340.50","127.00","20,85,88,855","61,15,26,30,021.55","3,35,221"
"26-Sep-2024","EQ","290.60","291.90","289.05","289.85","290.40","290.50","290.27","340.50","127.00","1,83,43,882","5,32,46,09,068.65","1,56,566"
"25-Sep-2024","EQ","294.00","295.00","287.65","291.80","289.75","289.85","291.01","340.50","127.00","1,92,63,084","5,60,56,65,283.10","2,24,188"
"24-Sep-2024","EQ","286.30","293.40","284.55","286.30","292.90","291.80","289.47","340.50","127.00","2,53,46,532","7,33,70,15,083.50","3,04,302"
"23-Sep-2024","EQ","280.00","286.70","278.65","277.35","286.50","286.30","283.71","340.50","127.00","1,94,45,968","5,51,71,03,114.45","1,65,132"
"20-Sep-2024","EQ","274.00","279.40","272.85","272.70","277.70","277.35","276.68","340.50","127.00","3,85,01,362","10,65,24,41,297.45","2,35,297"
"19-Sep-2024","EQ","284.00","284.85","267.10","282.85","274.00","272.70","272.57","340.50","127.00","4,45,60,220","12,14,58,00,771.85","3,71,919"
"18-Sep-2024","EQ","284.90","286.00","280.40","284.30","282.60","282.85","283.03","340.50","127.00","1,04,50,571","2,95,78,49,161.60","1,13,449"
"17-Sep-2024","EQ","290.50","290.85","283.90","290.40","284.40","284.30","285.42","340.50","127.00","1,59,46,216","4,55,14,32,389.45","1,69,137"
"16-Sep-2024","EQ","290.90","292.20","288.40","289.95","290.95","290.40","290.12","340.50","127.00","91,84,637","2,66,46,14,503.70","77,428"
"13-Sep-2024","EQ","293.00","294.00","289.60","291.70","290.10","289.95","291.21","340.50","127.00","1,23,30,463","3,59,07,90,408.60","1,10,888"
"12-Sep-2024","EQ","290.90","292.50","289.00","288.05","291.25","291.70","291.11","340.50","127.00","1,61,02,095","4,68,75,07,255.35","1,16,045"
"11-Sep-2024","EQ","286.45","290.45","284.35","285.75","288.10","288.05","288.06","340.50","127.00","2,16,50,737","6,23,66,78,131.05","2,24,251"
"10-Sep-2024","EQ","282.50","288.35","282.30","281.55","286.15","285.75","285.55","340.50","127.00","1,99,82,334","5,70,59,40,169.70","2,42,536"
"09-Sep-2024","EQ","282.00","284.50","275.75","283.60","284.15","281.55","279.22","340.50","127.00","2,91,70,063","8,14,48,80,223.00","3,05,330"
"06-Sep-2024","EQ","290.35","290.35","282.05","290.60","284.05","283.60","284.33","340.50","127.00","3,00,62,372","8,54,77,78,466.60","3,82,227"
"05-Sep-2024","EQ","299.00","299.50","290.00","298.95","290.55","290.60","292.71","340.50","127.00","2,63,42,723","7,71,08,18,581.45","2,94,621"
